"","x"
"862","4933402N03Rik"
"863","Timm23"
"864","Trnt1"
"865","Ehmt2"
"866","Elof1"
"867","Tmem259"
"868","Rnf170"
"869","Clip3"
"870",NA
"871","Dedd"
"872","Pax5"
"873","Rnf168"
"874","Dynlt2b"
"875","Chp1"
"876","Sval2"
"877","Trpv4"
"878","Tvp23b"
"879","Dnajc7"
"880","Zswim7"
"881","Pam16"
"882","Cox6c"
"883","Bicc1"
"884","Ube2z"
"885","Gip"
"886","Tmem87b"
"887","Anapc1"
"888","Mertk"
"889","Tsg101"
"890","Hps5"
"891","Map3k4"
"892","Blk"
"893","Ankrd28"
"894","Ankrd52"
"895","Pkd2l2"
"896","Srp19"
"897","Clec4f"
"898","Klra17"
"899","Wdfy2"
"900","Rbsn"
"901","Mrps25"
"902","Dguok"
"903","Camta1"
"904","Csf1"
"905","Strip1"
"906","Alx3"
"907","Slc25a11"
"908","Chrne"
"909","Cmc2"
"910","Chfr"
"911","Ceacam16"
"912","Hoxa2"
"913","Ankrd53"
"914","Tex261"
"915","Fam120b"
"916","Tbp"
"917","Nol3"
"918","Fhod1"
"919","Msh3"
"920","E2f4"
"921","Surf4"
"922","Dnajb9"
"923","Naf1"
"924","Yes1"
"925","Ppp1cb"
"926","Gorasp2"
"927","Efr3a"
"928","Acsf3"
"929","Ddx19a"
"930","Gata2"
"931","Npdc1"
"932","Fbxw5"
"933","Slc25a13"
"934","Ube2i"
"935","Actn1"
"936","Hnrnpl"
"937","Nolc1"
"938","Cnksr3"
"939","Hmgb3"
"940","Map2"
"941","Cyp2j9"
"942","Lage3"
"943","Gdi1"
"944","Sash1"
"945","Gadd45b"
"946","Slamf1"
"947","Golga7"
"948","Clpx"
"949","Gzmn"
"950","Ager"
"951","Egfl8"
"952","Ppt2"
"953","Prrt1"
"954","Rnf5"
"955","Cacfd1"
"956","Hivep2"
"957","2310057J18Rik"
"958","Arnt"
"959","Lpl"
"960","Atp6v0e"
"961","Nkx2-5"
"962","Zfp318"
"963","Srf"
"964","Gata5"
"965","Lama5"
"966","Steap2"
"967","Hspa8"
"968","Serac1"
"969","Awat1"
"970","Pdzd11"
"971","Psma2"
"972","Mrpl32"
"973","Setdb1"
"974","Prune1"
"975","Nlrp5"
"976","Capza2"
"977","Plekho1"
"978","Prpf3"
"979","Anp32e"
"980","Aph1a"
"981","Tab2"
"982","Ppil4"
"983","Cnih1"
"984","Eps8"
"985","Med22"
"986","Med28"
"987","Qdpr"
"988","Sqstm1"
"989","Rxrg"
"990","Rxra"
"991","Cd5l"
"992","Prpsap1"
"993","Ncapg"
"994","Amdhd1"
"995","Dstn"
"996","Castor2"
"997","Adss2"
"998","Chdh"
"999","Actr8"
"1000","Fnta"
"1001","Mtrex"
"1002","Lbp"
"1003","Celsr1"
"1004","Stard13"
"1005","Utp25"
"1006","Syt14"
"1007","H2-M3"
"1008","Lonrf3"
"1009","Atp5f1e"
"1010","Nelfcd"
"1011","Tubb1"
"1012","Prelid3b"
"1013","H2-M2"
"1014","Ube2a"
"1015","Slc25a5"
"1016","Pls3"
"1017","Nkap"
"1018","Ndufa1"
"1019","Ppfibp1"
"1020","Cd46"
"1021","Cd34"
"1022","Plgrkt"
"1023","Gtf3a"
"1024","Mtif3"
"1025","Lnx2"
"1026","Dyrk3"
"1027","Lamp2"
"1028","Eif3d"
"1029","H3f3b"
"1030","Nup50"
"1031","Nlrp14"
"1032","Ift27"
"1033","Pacsin2"
"1034","Ttll12"
"1035","Bik"
"1036","Scube1"
"1037","Tox4"
"1038","Srsf6"
"1039","Tmprss6"
"1040","Kctd5"
"1041","Etaa1"
"1042","Svs4"
"1043","Svs6"
"1044","Svs5"
"1045","Prl5a1"
"1046","Nbr1"
"1047","Cyth1"
"1048","Brca1"
"1049","Cntnap1"
"1050","Gsdma"
"1051","Med24"
"1052","Psmd3"
"1053","Exosc10"
"1054","Glod4"
"1055","Vps53"
"1056","Taok1"
"1057","Dnttip1"
"1058","Acot8"
"1059","Spint4"
"1060","Pyy"
"1061","Ppy"
"1062","Nlk"
"1063","Traf4"
"1064","Aldoc"
"1065","Rpl19"
"1066","Plxdc1"
"1067","Arl5b"
"1068","Zfp207"
"1069","Psmd11"
"1070","Zc3h18"
"1071","Top2b"
"1072","Cdc6"
"1073","Suz12"
"1074","Atad5"
"1075","Crlf3"
"1076","Tns4"
"1077","Tnfaip1"
"1078","Abr"
"1079","Rab11fip4"
"1080","Slc35c2"
"1081","Zfp334"
"1082","Elmo2"
"1083","Wsb1"
"1084","Ttpal"
"1085","Rhot1"
"1086","Rhbdl3"
"1087","Ada"
"1088","Tha1"
"1089","Pgs1"
"1090","Birc5"
"1091","Trp53tg5"
"1092","Pigt"
"1093","Wfdc2"
"1094","Eppin"
"1095","Slc12a5"
"1096","Ctsa"
"1097","Zswim1"
"1098","Slc12a4"
"1099","Spata25"
"1100","Myo1c"
"1101","Crk"
"1102","Cox7c"
"1103","Pitpna"
"1104","Mlx"
"1105","Jph2"
"1106","Rab5a"
"1107","Hspb9"
"1108","Ppp2r5c"
"1109","Mybl2"
"1110","Eya2"
"1111","Prl3c1"
"1112","B4galt5"
"1113","Cadps2"
"1114","Ddx27"
"1115","Cyth3"
"1116","Rac3"
"1117","Rrp7a"
"1118","Ints2"
"1119","Med13l"
"1120","H2bc4"
"1121","Med1"
"1122","Erbb3"
"1123","Mfng"
"1124","Uchl5"
"1125","Ro60"
"1126","Stk4"
"1127","Gdf9"
"1128","Zcchc10"
"1129","Psmb6"
"1130","Spag7"
"1131","Pfn1"
"1132","Tomm34"
"1133","Ywhab"
"1134","Ksr1"
"1135","Gpx3"
"1136","Anxa6"
"1137","Zkscan6"
"1138","Kpna2"
"1139","Smurf2"
"1140","Cep95"
"1141","Vezf1"
"1142","2210416O15Rik"
"1143","Srsf1"
"1144","Abi3"
"1145","Kif3a"
"1146","Mtmr4"
"1147","Kansl1"
"1148","Gid4"
"1149","Myo1b"
"1150","Dhx40"
"1151","Ypel2"
"1152","Akap1"
"1153","Nol11"
"1154","Derl2"
"1155","C1qbp"
"1156","Rpain"
"1157","Chd3"
"1158","Kdm6b"
"1159","Appbp2"
"1160","Ncor1"
"1161","Trpv2"
"1162","Cenpv"
"1163","Cwc25"
"1164","Spmap1"
"1165","Pip4k2b"
"1166","Trim37"
"1167","Ybx2"
"1168","Ctdnep1"
"1169","Elp5"
"1170","Phf23"
"1171","Dnah11"
"1172","G3bp1"
"1173","Atox1"
"1174","Glra2"
"1175","Tbx3"
"1176","Mmp20"
"1177","Mmp7"
"1178","Dusp14"
"1179","Tada2a"
"1180","Ikzf1"
"1181","Pnpo"
"1182","Cbx1"
"1183","Cdk5rap3"
"1184","Copz2"
"1185","Slc25a39"
"1186","Sp2"
"1187","Dync1h1"
"1188","Cpsf4l"
"1189","Pex12"
"1190","Ndel1"
"1191","Fxr2"
"1192","Atp5mc3"
"1193","Slc35g3"
"1194","Acsl1"
"1195","Lsp1"
"1196","Zfyve27"
"1197","Myh11"
"1198","Rad51d"
"1199","Fndc8"
"1200","Unc45b"
"1201","Pank3"
"1202","Rars1"
"1203","Wwc1"
"1204","Mrpl58"
"1205","Otop3"
"1206","Sult4a1"
"1207","Mb"
"1208","Irf1"
"1209","Slc22a5"
"1210","Alox12e"
"1211","Arrb1"
"1212","Il3"
"1213","Csf2"
"1214","Tm4sf5"
"1215","Cxcl16"
"1216","Pelp1"
"1217","Heatr9"
"1218","Natd1"
"1219","Map2k3"
"1220","Ywhah"
"1221","Sart3"
"1222","E2f2"
"1223","Slfn3"
"1224","Slc35b4"
"1225","Dnah1"
"1226","Rab3d"
"1227","Mfsd3"
"1228","Slc25a22"
"1229","Atp6ap1"
"1230","Ccl9"
